"Date Printed: Monday, April 13, 2026 2:51:16 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2018","Alabama","01","389","16.5"
"Primary and Secondary Syphilis","2018","Alaska","02","51","13.3"
"Primary and Secondary Syphilis","2018","Arizona","04","870","24.5"
"Primary and Secondary Syphilis","2018","Arkansas","05","220","14.9"
"Primary and Secondary Syphilis","2018","California","06","6,349","32.4"
"Primary and Secondary Syphilis","2018","Colorado","08","312","10.9"
"Primary and Secondary Syphilis","2018","Connecticut","09","84","4.8"
"Primary and Secondary Syphilis","2018","Delaware","10","23","4.9"
"Primary and Secondary Syphilis","2018","District of Columbia","11","264","79.3"
"Primary and Secondary Syphilis","2018","Florida","12","2,524","24.3"
"Primary and Secondary Syphilis","2018","Georgia","13","1,421","27.8"
"Primary and Secondary Syphilis","2018","Hawaii","15","85","12.0"
"Primary and Secondary Syphilis","2018","Idaho","16","41","4.7"
"Primary and Secondary Syphilis","2018","Illinois","17","1,287","20.6"
"Primary and Secondary Syphilis","2018","Indiana","18","341","10.3"
"Primary and Secondary Syphilis","2018","Iowa","19","75","4.8"
"Primary and Secondary Syphilis","2018","Kansas","20","128","8.8"
"Primary and Secondary Syphilis","2018","Kentucky","21","296","13.5"
"Primary and Secondary Syphilis","2018","Louisiana","22","503","22.1"
"Primary and Secondary Syphilis","2018","Maine","23","67","10.2"
"Primary and Secondary Syphilis","2018","Maryland","24","656","22.4"
"Primary and Secondary Syphilis","2018","Massachusetts","25","499","14.9"
"Primary and Secondary Syphilis","2018","Michigan","26","580","11.8"
"Primary and Secondary Syphilis","2018","Minnesota","27","248","8.9"
"Primary and Secondary Syphilis","2018","Mississippi","28","312","21.6"
"Primary and Secondary Syphilis","2018","Missouri","29","645","21.5"
"Primary and Secondary Syphilis","2018","Montana","30","35","6.6"
"Primary and Secondary Syphilis","2018","Nebraska","31","105","10.9"
"Primary and Secondary Syphilis","2018","Nevada","32","563","37.1"
"Primary and Secondary Syphilis","2018","New Hampshire","33","61","9.1"
"Primary and Secondary Syphilis","2018","New Jersey","34","511","11.8"
"Primary and Secondary Syphilis","2018","New Mexico","35","258","24.9"
"Primary and Secondary Syphilis","2018","New York","36","2,483","26.2"
"Primary and Secondary Syphilis","2018","North Carolina","37","937","18.6"
"Primary and Secondary Syphilis","2018","North Dakota","38","31","8.0"
"Primary and Secondary Syphilis","2018","Ohio","39","648","11.3"
"Primary and Secondary Syphilis","2018","Oklahoma","40","387","19.8"
"Primary and Secondary Syphilis","2018","Oregon","41","332","16.0"
"Primary and Secondary Syphilis","2018","Pennsylvania","42","698","11.1"
"Primary and Secondary Syphilis","2018","Rhode Island","44","84","16.3"
"Primary and Secondary Syphilis","2018","South Carolina","45","317","12.9"
"Primary and Secondary Syphilis","2018","South Dakota","46","30","6.8"
"Primary and Secondary Syphilis","2018","Tennessee","47","486","14.7"
"Primary and Secondary Syphilis","2018","Texas","48","2,114","14.9"
"Primary and Secondary Syphilis","2018","Utah","49","159","10.0"
"Primary and Secondary Syphilis","2018","Vermont","50","9","2.9"
"Primary and Secondary Syphilis","2018","Virginia","51","617","14.7"
"Primary and Secondary Syphilis","2018","Washington","53","701","18.6"
"Primary and Secondary Syphilis","2018","West Virginia","54","46","5.1"
"Primary and Secondary Syphilis","2018","Wisconsin","55","134","4.6"
"Primary and Secondary Syphilis","2018","Wyoming","56","18","6.1"
"Primary and Secondary Syphilis","2017","Alabama","01","354","15.0"
"Primary and Secondary Syphilis","2017","Alaska","02","12","3.1"
"Primary and Secondary Syphilis","2017","Arizona","04","785","22.4"
"Primary and Secondary Syphilis","2017","Arkansas","05","170","11.5"
"Primary and Secondary Syphilis","2017","California","06","5,804","29.7"
"Primary and Secondary Syphilis","2017","Colorado","08","274","9.7"
"Primary and Secondary Syphilis","2017","Connecticut","09","97","5.6"
"Primary and Secondary Syphilis","2017","Delaware","10","51","11.0"
"Primary and Secondary Syphilis","2017","District of Columbia","11","264","80.1"
"Primary and Secondary Syphilis","2017","Florida","12","2,069","20.2"
"Primary and Secondary Syphilis","2017","Georgia","13","1,350","26.7"
"Primary and Secondary Syphilis","2017","Hawaii","15","88","12.3"
"Primary and Secondary Syphilis","2017","Idaho","16","49","5.7"
"Primary and Secondary Syphilis","2017","Illinois","17","1,140","18.2"
"Primary and Secondary Syphilis","2017","Indiana","18","292","8.9"
"Primary and Secondary Syphilis","2017","Iowa","19","92","5.9"
"Primary and Secondary Syphilis","2017","Kansas","20","117","8.1"
"Primary and Secondary Syphilis","2017","Kentucky","21","221","10.1"
"Primary and Secondary Syphilis","2017","Louisiana","22","493","21.6"
"Primary and Secondary Syphilis","2017","Maine","23","54","8.3"
"Primary and Secondary Syphilis","2017","Maryland","24","526","18.0"
"Primary and Secondary Syphilis","2017","Massachusetts","25","512","15.4"
"Primary and Secondary Syphilis","2017","Michigan","26","446","9.1"
"Primary and Secondary Syphilis","2017","Minnesota","27","252","9.1"
"Primary and Secondary Syphilis","2017","Mississippi","28","222","15.3"
"Primary and Secondary Syphilis","2017","Missouri","29","414","13.8"
"Primary and Secondary Syphilis","2017","Montana","30","39","7.4"
"Primary and Secondary Syphilis","2017","Nebraska","31","36","3.8"
"Primary and Secondary Syphilis","2017","Nevada","32","512","34.4"
"Primary and Secondary Syphilis","2017","New Hampshire","33","39","5.8"
"Primary and Secondary Syphilis","2017","New Jersey","34","465","10.7"
"Primary and Secondary Syphilis","2017","New Mexico","35","174","16.8"
"Primary and Secondary Syphilis","2017","New York","36","2,214","23.3"
"Primary and Secondary Syphilis","2017","North Carolina","37","1,011","20.2"
"Primary and Secondary Syphilis","2017","North Dakota","38","39","10.1"
"Primary and Secondary Syphilis","2017","Ohio","39","720","12.6"
"Primary and Secondary Syphilis","2017","Oklahoma","40","306","15.7"
"Primary and Secondary Syphilis","2017","Oregon","41","298","14.5"
"Primary and Secondary Syphilis","2017","Pennsylvania","42","717","11.5"
"Primary and Secondary Syphilis","2017","Rhode Island","44","64","12.5"
"Primary and Secondary Syphilis","2017","South Carolina","45","305","12.5"
"Primary and Secondary Syphilis","2017","South Dakota","46","29","6.6"
"Primary and Secondary Syphilis","2017","Tennessee","47","441","13.5"
"Primary and Secondary Syphilis","2017","Texas","48","1,920","13.7"
"Primary and Secondary Syphilis","2017","Utah","49","113","7.2"
"Primary and Secondary Syphilis","2017","Vermont","50","12","3.9"
"Primary and Secondary Syphilis","2017","Virginia","51","471","11.3"
"Primary and Secondary Syphilis","2017","Washington","53","606","16.3"
"Primary and Secondary Syphilis","2017","West Virginia","54","41","4.6"
"Primary and Secondary Syphilis","2017","Wisconsin","55","161","5.6"
"Primary and Secondary Syphilis","2017","Wyoming","56","4","1.4"
"Primary and Secondary Syphilis","2016","Alabama","01","296","12.6"
"Primary and Secondary Syphilis","2016","Alaska","02","8","2.1"
"Primary and Secondary Syphilis","2016","Arizona","04","641","18.6"
"Primary and Secondary Syphilis","2016","Arkansas","05","113","7.7"
"Primary and Secondary Syphilis","2016","California","06","5,143","26.4"
"Primary and Secondary Syphilis","2016","Colorado","08","234","8.4"
"Primary and Secondary Syphilis","2016","Connecticut","09","98","5.6"
"Primary and Secondary Syphilis","2016","Delaware","10","55","12.0"
"Primary and Secondary Syphilis","2016","District of Columbia","11","152","46.7"
"Primary and Secondary Syphilis","2016","Florida","12","2,140","21.2"
"Primary and Secondary Syphilis","2016","Georgia","13","1,237","24.7"
"Primary and Secondary Syphilis","2016","Hawaii","15","102","14.2"
"Primary and Secondary Syphilis","2016","Idaho","16","44","5.2"
"Primary and Secondary Syphilis","2016","Illinois","17","1,165","18.5"
"Primary and Secondary Syphilis","2016","Indiana","18","290","8.9"
"Primary and Secondary Syphilis","2016","Iowa","19","83","5.3"
"Primary and Secondary Syphilis","2016","Kansas","20","112","7.7"
"Primary and Secondary Syphilis","2016","Kentucky","21","198","9.1"
"Primary and Secondary Syphilis","2016","Louisiana","22","558","24.4"
"Primary and Secondary Syphilis","2016","Maine","23","39","6.0"
"Primary and Secondary Syphilis","2016","Maryland","24","455","15.6"
"Primary and Secondary Syphilis","2016","Massachusetts","25","464","14.0"
"Primary and Secondary Syphilis","2016","Michigan","26","334","6.8"
"Primary and Secondary Syphilis","2016","Minnesota","27","267","9.7"
"Primary and Secondary Syphilis","2016","Mississippi","28","268","18.5"
"Primary and Secondary Syphilis","2016","Missouri","29","334","11.2"
"Primary and Secondary Syphilis","2016","Montana","30","13","2.5"
"Primary and Secondary Syphilis","2016","Nebraska","31","62","6.5"
"Primary and Secondary Syphilis","2016","Nevada","32","394","26.9"
"Primary and Secondary Syphilis","2016","New Hampshire","33","36","5.4"
"Primary and Secondary Syphilis","2016","New Jersey","34","448","10.3"
"Primary and Secondary Syphilis","2016","New Mexico","35","162","15.6"
"Primary and Secondary Syphilis","2016","New York","36","2,319","24.3"
"Primary and Secondary Syphilis","2016","North Carolina","37","973","19.7"
"Primary and Secondary Syphilis","2016","North Dakota","38","30","7.8"
"Primary and Secondary Syphilis","2016","Ohio","39","622","10.9"
"Primary and Secondary Syphilis","2016","Oklahoma","40","223","11.5"
"Primary and Secondary Syphilis","2016","Oregon","41","292","14.4"
"Primary and Secondary Syphilis","2016","Pennsylvania","42","693","11.1"
"Primary and Secondary Syphilis","2016","Rhode Island","44","87","16.9"
"Primary and Secondary Syphilis","2016","South Carolina","45","264","11.0"
"Primary and Secondary Syphilis","2016","South Dakota","46","20","4.6"
"Primary and Secondary Syphilis","2016","Tennessee","47","334","10.3"
"Primary and Secondary Syphilis","2016","Texas","48","1,725","12.4"
"Primary and Secondary Syphilis","2016","Utah","49","86","5.6"
"Primary and Secondary Syphilis","2016","Vermont","50","20","6.5"
"Primary and Secondary Syphilis","2016","Virginia","51","403","9.7"
"Primary and Secondary Syphilis","2016","Washington","53","514","14.1"
"Primary and Secondary Syphilis","2016","West Virginia","54","43","4.7"
"Primary and Secondary Syphilis","2016","Wisconsin","55","125","4.4"
"Primary and Secondary Syphilis","2016","Wyoming","56","6","2.0"
"Primary and Secondary Syphilis","2015","Alabama","01","243","10.3"
"Primary and Secondary Syphilis","2015","Alaska","02","7","1.8"
"Primary and Secondary Syphilis","2015","Arizona","04","542","16.0"
"Primary and Secondary Syphilis","2015","Arkansas","05","108","7.4"
"Primary and Secondary Syphilis","2015","California","06","4,430","22.9"
"Primary and Secondary Syphilis","2015","Colorado","08","239","8.7"
"Primary and Secondary Syphilis","2015","Connecticut","09","77","4.4"
"Primary and Secondary Syphilis","2015","Delaware","10","39","8.6"
"Primary and Secondary Syphilis","2015","District of Columbia","11","83","25.9"
"Primary and Secondary Syphilis","2015","Florida","12","1,873","19.0"
"Primary and Secondary Syphilis","2015","Georgia","13","1,319","26.6"
"Primary and Secondary Syphilis","2015","Hawaii","15","90","12.6"
"Primary and Secondary Syphilis","2015","Idaho","16","48","5.8"
"Primary and Secondary Syphilis","2015","Illinois","17","1,001","15.9"
"Primary and Secondary Syphilis","2015","Indiana","18","257","7.9"
"Primary and Secondary Syphilis","2015","Iowa","19","70","4.5"
"Primary and Secondary Syphilis","2015","Kansas","20","70","4.8"
"Primary and Secondary Syphilis","2015","Kentucky","21","122","5.6"
"Primary and Secondary Syphilis","2015","Louisiana","22","507","22.2"
"Primary and Secondary Syphilis","2015","Maine","23","22","3.4"
"Primary and Secondary Syphilis","2015","Maryland","24","451","15.5"
"Primary and Secondary Syphilis","2015","Massachusetts","25","391","11.9"
"Primary and Secondary Syphilis","2015","Michigan","26","369","7.6"
"Primary and Secondary Syphilis","2015","Minnesota","27","207","7.6"
"Primary and Secondary Syphilis","2015","Mississippi","28","187","12.9"
"Primary and Secondary Syphilis","2015","Missouri","29","253","8.5"
"Primary and Secondary Syphilis","2015","Montana","30","12","2.3"
"Primary and Secondary Syphilis","2015","Nebraska","31","42","4.5"
"Primary and Secondary Syphilis","2015","Nevada","32","312","21.7"
"Primary and Secondary Syphilis","2015","New Hampshire","33","37","5.6"
"Primary and Secondary Syphilis","2015","New Jersey","34","346","8.0"
"Primary and Secondary Syphilis","2015","New Mexico","35","107","10.3"
"Primary and Secondary Syphilis","2015","New York","36","1,933","20.3"
"Primary and Secondary Syphilis","2015","North Carolina","37","1,084","22.2"
"Primary and Secondary Syphilis","2015","North Dakota","38","11","2.8"
"Primary and Secondary Syphilis","2015","Ohio","39","492","8.6"
"Primary and Secondary Syphilis","2015","Oklahoma","40","188","9.7"
"Primary and Secondary Syphilis","2015","Oregon","41","310","15.6"
"Primary and Secondary Syphilis","2015","Pennsylvania","42","602","9.6"
"Primary and Secondary Syphilis","2015","Rhode Island","44","73","14.2"
"Primary and Secondary Syphilis","2015","South Carolina","45","257","10.8"
"Primary and Secondary Syphilis","2015","South Dakota","46","32","7.4"
"Primary and Secondary Syphilis","2015","Tennessee","47","326","10.1"
"Primary and Secondary Syphilis","2015","Texas","48","1,450","10.6"
"Primary and Secondary Syphilis","2015","Utah","49","63","4.2"
"Primary and Secondary Syphilis","2015","Vermont","50","9","2.9"
"Primary and Secondary Syphilis","2015","Virginia","51","316","7.7"
"Primary and Secondary Syphilis","2015","Washington","53","414","11.6"
"Primary and Secondary Syphilis","2015","West Virginia","54","43","4.7"
"Primary and Secondary Syphilis","2015","Wisconsin","55","79","2.8"
"Primary and Secondary Syphilis","2015","Wyoming","56","4","1.3"
"Primary and Secondary Syphilis","2014","Alabama","01","144","6.1"
"Primary and Secondary Syphilis","2014","Alaska","02","14","3.6"
"Primary and Secondary Syphilis","2014","Arizona","04","527","15.7"
"Primary and Secondary Syphilis","2014","Arkansas","05","98","6.7"
"Primary and Secondary Syphilis","2014","California","06","3,515","18.3"
"Primary and Secondary Syphilis","2014","Colorado","08","180","6.7"
"Primary and Secondary Syphilis","2014","Connecticut","09","79","4.5"
"Primary and Secondary Syphilis","2014","Delaware","10","45","10.0"
"Primary and Secondary Syphilis","2014","District of Columbia","11","106","33.7"
"Primary and Secondary Syphilis","2014","Florida","12","1,602","16.5"
"Primary and Secondary Syphilis","2014","Georgia","13","1,138","23.2"
"Primary and Secondary Syphilis","2014","Hawaii","15","66","9.3"
"Primary and Secondary Syphilis","2014","Idaho","16","12","1.5"
"Primary and Secondary Syphilis","2014","Illinois","17","782","12.4"
"Primary and Secondary Syphilis","2014","Indiana","18","157","4.8"
"Primary and Secondary Syphilis","2014","Iowa","19","66","4.3"
"Primary and Secondary Syphilis","2014","Kansas","20","46","3.2"
"Primary and Secondary Syphilis","2014","Kentucky","21","136","6.3"
"Primary and Secondary Syphilis","2014","Louisiana","22","443","19.5"
"Primary and Secondary Syphilis","2014","Maine","23","13","2.0"
"Primary and Secondary Syphilis","2014","Maryland","24","400","13.9"
"Primary and Secondary Syphilis","2014","Massachusetts","25","277","8.4"
"Primary and Secondary Syphilis","2014","Michigan","26","390","8.0"
"Primary and Secondary Syphilis","2014","Minnesota","27","235","8.7"
"Primary and Secondary Syphilis","2014","Mississippi","28","172","11.8"
"Primary and Secondary Syphilis","2014","Missouri","29","318","10.7"
"Primary and Secondary Syphilis","2014","Montana","30","6","1.2"
"Primary and Secondary Syphilis","2014","Nebraska","31","46","4.9"
"Primary and Secondary Syphilis","2014","Nevada","32","334","23.6"
"Primary and Secondary Syphilis","2014","New Hampshire","33","32","4.9"
"Primary and Secondary Syphilis","2014","New Jersey","34","281","6.5"
"Primary and Secondary Syphilis","2014","New Mexico","35","112","10.8"
"Primary and Secondary Syphilis","2014","New York","36","1,675","17.6"
"Primary and Secondary Syphilis","2014","North Carolina","37","665","13.8"
"Primary and Secondary Syphilis","2014","North Dakota","38","8","2.1"
"Primary and Secondary Syphilis","2014","Ohio","39","492","8.7"
"Primary and Secondary Syphilis","2014","Oklahoma","40","136","7.1"
"Primary and Secondary Syphilis","2014","Oregon","41","250","12.7"
"Primary and Secondary Syphilis","2014","Pennsylvania","42","485","7.8"
"Primary and Secondary Syphilis","2014","Rhode Island","44","66","12.9"
"Primary and Secondary Syphilis","2014","South Carolina","45","227","9.7"
"Primary and Secondary Syphilis","2014","South Dakota","46","19","4.4"
"Primary and Secondary Syphilis","2014","Tennessee","47","203","6.4"
"Primary and Secondary Syphilis","2014","Texas","48","1,394","10.4"
"Primary and Secondary Syphilis","2014","Utah","49","46","3.1"
"Primary and Secondary Syphilis","2014","Vermont","50","5","1.6"
"Primary and Secondary Syphilis","2014","Virginia","51","272","6.7"
"Primary and Secondary Syphilis","2014","Washington","53","326","9.3"
"Primary and Secondary Syphilis","2014","West Virginia","54","22","2.4"
"Primary and Secondary Syphilis","2014","Wisconsin","55","79","2.8"
"Primary and Secondary Syphilis","2014","Wyoming","56","4","1.3"
"Primary and Secondary Syphilis","2013","Alabama","01","161","6.9"
"Primary and Secondary Syphilis","2013","Alaska","02","21","5.4"
"Primary and Secondary Syphilis","2013","Arizona","04","260","7.9"
"Primary and Secondary Syphilis","2013","Arkansas","05","133","9.2"
"Primary and Secondary Syphilis","2013","California","06","3,319","17.5"
"Primary and Secondary Syphilis","2013","Colorado","08","159","6.0"
"Primary and Secondary Syphilis","2013","Connecticut","09","48","2.7"
"Primary and Secondary Syphilis","2013","Delaware","10","49","11.0"
"Primary and Secondary Syphilis","2013","District of Columbia","11","149","48.3"
"Primary and Secondary Syphilis","2013","Florida","12","1,376","14.4"
"Primary and Secondary Syphilis","2013","Georgia","13","930","19.1"
"Primary and Secondary Syphilis","2013","Hawaii","15","46","6.5"
"Primary and Secondary Syphilis","2013","Idaho","16","15","1.9"
"Primary and Secondary Syphilis","2013","Illinois","17","731","11.5"
"Primary and Secondary Syphilis","2013","Indiana","18","197","6.1"
"Primary and Secondary Syphilis","2013","Iowa","19","96","6.3"
"Primary and Secondary Syphilis","2013","Kansas","20","47","3.3"
