"Date Printed: Monday, April 13, 2026 3:00:04 PM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"HIV diagnoses","2018","Alabama","01","486","24.7"
"HIV diagnoses","2018","Alaska","02","20","6.4"
"HIV diagnoses","2018","Arizona","04","655","22.1"
"HIV diagnoses","2018","Arkansas","05","225","18.4"
"HIV diagnoses","2018","California","06","4,251","26.1"
"HIV diagnoses","2018","Colorado","08","357","14.8"
"HIV diagnoses","2018","Connecticut","09","199","13.4"
"HIV diagnoses","2018","Delaware","10","70","17.8"
"HIV diagnoses","2018","District of Columbia","11","214","75.5"
"HIV diagnoses","2018","Florida","12","3,333","37.7"
"HIV diagnoses","2018","Georgia","13","1,982","47.1"
"HIV diagnoses","2018","Hawaii","15","68","11.4"
"HIV diagnoses","2018","Idaho","16","31","4.3"
"HIV diagnoses","2018","Illinois","17","1,147","22.0"
"HIV diagnoses","2018","Indiana","18","400","14.7"
"HIV diagnoses","2018","Iowa","19","83","6.4"
"HIV diagnoses","2018","Kansas","20","129","10.8"
"HIV diagnoses","2018","Kentucky","21","309","16.9"
"HIV diagnoses","2018","Louisiana","22","703","37.6"
"HIV diagnoses","2018","Maine","23","24","4.2"
"HIV diagnoses","2018","Maryland","24","711","29.2"
"HIV diagnoses","2018","Massachusetts","25","458","16.1"
"HIV diagnoses","2018","Michigan","26","573","13.8"
"HIV diagnoses","2018","Minnesota","27","215","9.3"
"HIV diagnoses","2018","Mississippi","28","371","31.2"
"HIV diagnoses","2018","Missouri","29","366","14.6"
"HIV diagnoses","2018","Montana","30","21","4.7"
"HIV diagnoses","2018","Nebraska","31","70","8.9"
"HIV diagnoses","2018","Nevada","32","435","34.4"
"HIV diagnoses","2018","New Hampshire","33","30","5.2"
"HIV diagnoses","2018","New Jersey","34","773","21.3"
"HIV diagnoses","2018","New Mexico","35","129","15.0"
"HIV diagnoses","2018","New York","36","1,968","24.6"
"HIV diagnoses","2018","North Carolina","37","945","22.4"
"HIV diagnoses","2018","North Dakota","38","22","6.9"
"HIV diagnoses","2018","Ohio","39","801","16.8"
"HIV diagnoses","2018","Oklahoma","40","228","14.3"
"HIV diagnoses","2018","Oregon","41","193","11.0"
"HIV diagnoses","2018","Pennsylvania","42","799","15.0"
"HIV diagnoses","2018","Rhode Island","44","62","14.0"
"HIV diagnoses","2018","South Carolina","45","563","27.3"
"HIV diagnoses","2018","South Dakota","46","24","6.6"
"HIV diagnoses","2018","Tennessee","47","605","22.0"
"HIV diagnoses","2018","Texas","48","3,647","31.7"
"HIV diagnoses","2018","Utah","49","110","8.8"
"HIV diagnoses","2018","Vermont","50","15","5.6"
"HIV diagnoses","2018","Virginia","51","687","19.6"
"HIV diagnoses","2018","Washington","53","363","11.5"
"HIV diagnoses","2018","West Virginia","54","69","9.1"
"HIV diagnoses","2018","Wisconsin","55","180","7.4"
"HIV diagnoses","2018","Wyoming","56","11","4.5"
"HIV diagnoses","2017","Alabama","01","509","25.9"
"HIV diagnoses","2017","Alaska","02","21","6.6"
"HIV diagnoses","2017","Arizona","04","615","21.2"
"HIV diagnoses","2017","Arkansas","05","237","19.5"
"HIV diagnoses","2017","California","06","4,371","26.9"
"HIV diagnoses","2017","Colorado","08","388","16.4"
"HIV diagnoses","2017","Connecticut","09","198","13.4"
"HIV diagnoses","2017","Delaware","10","88","22.6"
"HIV diagnoses","2017","District of Columbia","11","240","85.5"
"HIV diagnoses","2017","Florida","12","3,345","38.4"
"HIV diagnoses","2017","Georgia","13","2,019","48.6"
"HIV diagnoses","2017","Hawaii","15","68","11.4"
"HIV diagnoses","2017","Idaho","16","41","5.9"
"HIV diagnoses","2017","Illinois","17","1,170","22.4"
"HIV diagnoses","2017","Indiana","18","406","15.0"
"HIV diagnoses","2017","Iowa","19","100","7.7"
"HIV diagnoses","2017","Kansas","20","89","7.5"
"HIV diagnoses","2017","Kentucky","21","296","16.2"
"HIV diagnoses","2017","Louisiana","22","741","39.5"
"HIV diagnoses","2017","Maine","23","25","4.4"
"HIV diagnoses","2017","Maryland","24","730","30.1"
"HIV diagnoses","2017","Massachusetts","25","448","15.8"
"HIV diagnoses","2017","Michigan","26","633","15.3"
"HIV diagnoses","2017","Minnesota","27","207","9.0"
"HIV diagnoses","2017","Mississippi","28","322","27.0"
"HIV diagnoses","2017","Missouri","29","402","16.1"
"HIV diagnoses","2017","Montana","30","28","6.3"
"HIV diagnoses","2017","Nebraska","31","71","9.1"
"HIV diagnoses","2017","Nevada","32","436","35.2"
"HIV diagnoses","2017","New Hampshire","33","24","4.2"
"HIV diagnoses","2017","New Jersey","34","822","22.6"
"HIV diagnoses","2017","New Mexico","35","126","14.7"
"HIV diagnoses","2017","New York","36","2,191","27.4"
"HIV diagnoses","2017","North Carolina","37","1,040","25.0"
"HIV diagnoses","2017","North Dakota","38","32","10.0"
"HIV diagnoses","2017","Ohio","39","805","16.9"
"HIV diagnoses","2017","Oklahoma","40","252","15.8"
"HIV diagnoses","2017","Oregon","41","166","9.6"
"HIV diagnoses","2017","Pennsylvania","42","876","16.5"
"HIV diagnoses","2017","Rhode Island","44","67","15.3"
"HIV diagnoses","2017","South Carolina","45","540","26.5"
"HIV diagnoses","2017","South Dakota","46","31","8.6"
"HIV diagnoses","2017","Tennessee","47","594","21.8"
"HIV diagnoses","2017","Texas","48","3,610","31.8"
"HIV diagnoses","2017","Utah","49","104","8.5"
"HIV diagnoses","2017","Vermont","50","14","5.3"
"HIV diagnoses","2017","Virginia","51","676","19.4"
"HIV diagnoses","2017","Washington","53","343","11.1"
"HIV diagnoses","2017","West Virginia","54","67","8.8"
"HIV diagnoses","2017","Wisconsin","55","219","9.1"
"HIV diagnoses","2017","Wyoming","56","9","3.7"
"HIV diagnoses","2016","Alabama","01","500","25.5"
"HIV diagnoses","2016","Alaska","02","29","9.1"
"HIV diagnoses","2016","Arizona","04","606","21.2"
"HIV diagnoses","2016","Arkansas","05","264","21.8"
"HIV diagnoses","2016","California","06","4,522","28.1"
"HIV diagnoses","2016","Colorado","08","370","15.9"
"HIV diagnoses","2016","Connecticut","09","205","13.8"
"HIV diagnoses","2016","Delaware","10","86","22.3"
"HIV diagnoses","2016","District of Columbia","11","261","93.8"
"HIV diagnoses","2016","Florida","12","3,452","40.3"
"HIV diagnoses","2016","Georgia","13","2,010","49.0"
"HIV diagnoses","2016","Hawaii","15","67","11.2"
"HIV diagnoses","2016","Idaho","16","36","5.3"
"HIV diagnoses","2016","Illinois","17","1,244","23.8"
"HIV diagnoses","2016","Indiana","18","383","14.2"
"HIV diagnoses","2016","Iowa","19","104","8.1"
"HIV diagnoses","2016","Kansas","20","123","10.4"
"HIV diagnoses","2016","Kentucky","21","286","15.8"
"HIV diagnoses","2016","Louisiana","22","800","42.6"
"HIV diagnoses","2016","Maine","23","32","5.7"
"HIV diagnoses","2016","Maryland","24","787","32.5"
"HIV diagnoses","2016","Massachusetts","25","469","16.6"
"HIV diagnoses","2016","Michigan","26","628","15.3"
"HIV diagnoses","2016","Minnesota","27","222","9.8"
"HIV diagnoses","2016","Mississippi","28","323","27.2"
"HIV diagnoses","2016","Missouri","29","406","16.4"
"HIV diagnoses","2016","Montana","30","19","4.3"
"HIV diagnoses","2016","Nebraska","31","57","7.4"
"HIV diagnoses","2016","Nevada","32","438","36.0"
"HIV diagnoses","2016","New Hampshire","33","26","4.5"
"HIV diagnoses","2016","New Jersey","34","894","24.7"
"HIV diagnoses","2016","New Mexico","35","134","15.7"
"HIV diagnoses","2016","New York","36","2,256","28.2"
"HIV diagnoses","2016","North Carolina","37","1,124","27.3"
"HIV diagnoses","2016","North Dakota","38","26","8.1"
"HIV diagnoses","2016","Ohio","39","765","16.1"
"HIV diagnoses","2016","Oklahoma","40","244","15.4"
"HIV diagnoses","2016","Oregon","41","204","11.9"
"HIV diagnoses","2016","Pennsylvania","42","884","16.7"
"HIV diagnoses","2016","Rhode Island","44","52","11.8"
"HIV diagnoses","2016","South Carolina","45","594","29.6"
"HIV diagnoses","2016","South Dakota","46","35","9.9"
"HIV diagnoses","2016","Tennessee","47","583","21.6"
"HIV diagnoses","2016","Texas","48","3,741","33.5"
"HIV diagnoses","2016","Utah","49","119","10.0"
"HIV diagnoses","2016","Vermont","50","4","1.5"
"HIV diagnoses","2016","Virginia","51","733","21.2"
"HIV diagnoses","2016","Washington","53","323","10.6"
"HIV diagnoses","2016","West Virginia","54","55","7.1"
"HIV diagnoses","2016","Wisconsin","55","194","8.1"
"HIV diagnoses","2016","Wyoming","56","18","7.3"
"HIV diagnoses","2015","Alabama","01","529","27.1"
"HIV diagnoses","2015","Alaska","02","20","6.3"
"HIV diagnoses","2015","Arizona","04","593","21.2"
"HIV diagnoses","2015","Arkansas","05","218","18.1"
"HIV diagnoses","2015","California","06","4,539","28.4"
"HIV diagnoses","2015","Colorado","08","318","14.0"
"HIV diagnoses","2015","Connecticut","09","209","14.1"
"HIV diagnoses","2015","Delaware","10","87","22.8"
"HIV diagnoses","2015","District of Columbia","11","275","100.3"
"HIV diagnoses","2015","Florida","12","3,492","41.6"
"HIV diagnoses","2015","Georgia","13","2,116","52.2"
"HIV diagnoses","2015","Hawaii","15","105","17.6"
"HIV diagnoses","2015","Idaho","16","35","5.2"
"HIV diagnoses","2015","Illinois","17","1,306","24.9"
"HIV diagnoses","2015","Indiana","18","485","18.1"
"HIV diagnoses","2015","Iowa","19","96","7.5"
"HIV diagnoses","2015","Kansas","20","126","10.6"
"HIV diagnoses","2015","Kentucky","21","282","15.6"
"HIV diagnoses","2015","Louisiana","22","821","43.9"
"HIV diagnoses","2015","Maine","23","41","7.3"
"HIV diagnoses","2015","Maryland","24","848","35.2"
"HIV diagnoses","2015","Massachusetts","25","437","15.6"
"HIV diagnoses","2015","Michigan","26","589","14.4"
"HIV diagnoses","2015","Minnesota","27","221","9.8"
"HIV diagnoses","2015","Mississippi","28","395","33.3"
"HIV diagnoses","2015","Missouri","29","386","15.6"
"HIV diagnoses","2015","Montana","30","17","3.9"
"HIV diagnoses","2015","Nebraska","31","69","9.0"
"HIV diagnoses","2015","Nevada","32","417","34.9"
"HIV diagnoses","2015","New Hampshire","33","23","4.0"
"HIV diagnoses","2015","New Jersey","34","893","24.7"
"HIV diagnoses","2015","New Mexico","35","128","15.0"
"HIV diagnoses","2015","New York","36","2,443","30.5"
"HIV diagnoses","2015","North Carolina","37","1,070","26.4"
"HIV diagnoses","2015","North Dakota","38","14","4.4"
"HIV diagnoses","2015","Ohio","39","739","15.6"
"HIV diagnoses","2015","Oklahoma","40","266","16.8"
"HIV diagnoses","2015","Oregon","41","198","11.8"
"HIV diagnoses","2015","Pennsylvania","42","910","17.2"
"HIV diagnoses","2015","Rhode Island","44","47","10.7"
"HIV diagnoses","2015","South Carolina","45","533","26.9"
"HIV diagnoses","2015","South Dakota","46","17","4.9"
"HIV diagnoses","2015","Tennessee","47","598","22.4"
"HIV diagnoses","2015","Texas","48","3,688","33.6"
"HIV diagnoses","2015","Utah","49","109","9.4"
"HIV diagnoses","2015","Vermont","50","10","3.8"
"HIV diagnoses","2015","Virginia","51","765","22.3"
"HIV diagnoses","2015","Washington","53","380","12.7"
"HIV diagnoses","2015","West Virginia","54","57","7.4"
"HIV diagnoses","2015","Wisconsin","55","199","8.3"
"HIV diagnoses","2015","Wyoming","56","15","6.1"
"HIV diagnoses","2014","Alabama","01","531","27.2"
"HIV diagnoses","2014","Alaska","02","30","9.5"
"HIV diagnoses","2014","Arizona","04","621","22.6"
"HIV diagnoses","2014","Arkansas","05","259","21.6"
"HIV diagnoses","2014","California","06","4,552","28.8"
"HIV diagnoses","2014","Colorado","08","331","14.9"
"HIV diagnoses","2014","Connecticut","09","215","14.5"
"HIV diagnoses","2014","Delaware","10","71","18.8"
"HIV diagnoses","2014","District of Columbia","11","327","121.2"
"HIV diagnoses","2014","Florida","12","3,396","41.2"
"HIV diagnoses","2014","Georgia","13","1,906","47.6"
"HIV diagnoses","2014","Hawaii","15","89","15.0"
"HIV diagnoses","2014","Idaho","16","22","3.3"
"HIV diagnoses","2014","Illinois","17","1,282","24.5"
"HIV diagnoses","2014","Indiana","18","376","14.1"
"HIV diagnoses","2014","Iowa","19","77","6.0"
"HIV diagnoses","2014","Kansas","20","102","8.7"
"HIV diagnoses","2014","Kentucky","21","281","15.6"
"HIV diagnoses","2014","Louisiana","22","876","47.0"
"HIV diagnoses","2014","Maine","23","46","8.2"
"HIV diagnoses","2014","Maryland","24","862","36.0"
"HIV diagnoses","2014","Massachusetts","25","477","17.2"
"HIV diagnoses","2014","Michigan","26","634","15.5"
"HIV diagnoses","2014","Minnesota","27","234","10.5"
"HIV diagnoses","2014","Mississippi","28","358","30.2"
"HIV diagnoses","2014","Missouri","29","387","15.7"
"HIV diagnoses","2014","Montana","30","11","2.6"
"HIV diagnoses","2014","Nebraska","31","77","10.1"
"HIV diagnoses","2014","Nevada","32","375","31.9"
"HIV diagnoses","2014","New Hampshire","33","33","5.8"
"HIV diagnoses","2014","New Jersey","34","916","25.4"
"HIV diagnoses","2014","New Mexico","35","115","13.5"
"HIV diagnoses","2014","New York","36","2,612","32.7"
"HIV diagnoses","2014","North Carolina","37","1,035","25.8"
"HIV diagnoses","2014","North Dakota","38","17","5.4"
"HIV diagnoses","2014","Ohio","39","809","17.1"
"HIV diagnoses","2014","Oklahoma","40","251","16.0"
"HIV diagnoses","2014","Oregon","41","213","12.9"
"HIV diagnoses","2014","Pennsylvania","42","944","17.9"
"HIV diagnoses","2014","Rhode Island","44","74","17.0"
"HIV diagnoses","2014","South Carolina","45","618","31.7"
"HIV diagnoses","2014","South Dakota","46","18","5.2"
"HIV diagnoses","2014","Tennessee","47","594","22.4"
"HIV diagnoses","2014","Texas","48","3,605","33.5"
"HIV diagnoses","2014","Utah","49","98","8.6"
"HIV diagnoses","2014","Vermont","50","11","4.1"
"HIV diagnoses","2014","Virginia","51","717","21.1"
"HIV diagnoses","2014","Washington","53","361","12.3"
"HIV diagnoses","2014","West Virginia","54","67","8.6"
"HIV diagnoses","2014","Wisconsin","55","187","7.8"
"HIV diagnoses","2014","Wyoming","56","8","3.3"
"HIV diagnoses","2013","Alabama","01","482","24.8"
"HIV diagnoses","2013","Alaska","02","17","5.4"
"HIV diagnoses","2013","Arizona","04","594","22.0"
"HIV diagnoses","2013","Arkansas","05","200","16.8"
"HIV diagnoses","2013","California","06","4,170","26.7"
"HIV diagnoses","2013","Colorado","08","269","12.3"
"HIV diagnoses","2013","Connecticut","09","255","17.3"
"HIV diagnoses","2013","Delaware","10","82","22.0"
"HIV diagnoses","2013","District of Columbia","11","357","134.5"
"HIV diagnoses","2013","Florida","12","3,178","39.2"
